species	specimen	bodylength	sex	bone	side	absolute_centroid_size
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	pelvic	right	868.914264
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	rib	left	1420.842915
DELPHINUS_CAPENSIS	LACM_84240	235.0	M	rib	right	1429.142589
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	pelvic	left	892.359520
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	pelvic	right	937.795885
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_84241	232.9	M	rib	right	NA
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	pelvic	left	896.843329
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	pelvic	right	894.205905
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	rib	left	1463.773745
DELPHINUS_CAPENSIS	LACM_85995	210.0	M	rib	right	1428.994392
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	pelvic	left	853.372409
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	pelvic	right	892.728177
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	rib	left	1454.576004
DELPHINUS_CAPENSIS	LACM_86004	233.0	M	rib	right	1450.503369
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	pelvic	left	902.558240
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	pelvic	right	903.265484
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	rib	left	1293.949170
DELPHINUS_CAPENSIS	LACM_88979	211.5	M	rib	right	1297.774684
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	pelvic	left	730.340160
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	pelvic	right	735.053157
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	rib	left	NA
DELPHINUS_CAPENSIS	LACM_88999	214.0	M	rib	right	NA
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	pelvic	left	915.705610
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	pelvic	right	906.665072
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	rib	left	1269.955369
DELPHINUS_CAPENSIS	LACM_91307	207.0	F	rib	right	1271.389274
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	pelvic	left	854.542815
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	pelvic	right	860.324423
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	rib	left	1306.278918
DELPHINUS_CAPENSIS	LACM_91779	234.0	M	rib	right	1289.687403
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	pelvic	left	895.794080
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	pelvic	right	928.246447
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	rib	left	1345.553807
DELPHINUS_CAPENSIS	LACM_91915	222.0	M	rib	right	1360.397855
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	pelvic	left	939.269856
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	pelvic	right	947.363280
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	rib	left	1454.004559
DELPHINUS_CAPENSIS	LACM_92071	227.0	M	rib	right	1518.511442
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	pelvic	left	987.186902
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	pelvic	right	1021.367212
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	rib	left	1342.305766
DELPHINUS_CAPENSIS	LACM_92077	222.5	M	rib	right	1433.267617
DELPHINUS_CAPENSIS	LACM_95668	218.0	M	pelvic	left	NA
DELPHINUS_CAPENSIS	LACM_95668	218.0	M	pelvic	right	NA
